"Ip","Date","NumberofVisits"
"193.172.31",2015-11-20,401.695126934529
"193.172.31",2015-11-20,404.529206771991
"193.172.31",2015-11-20,408.651129962892
"193.172.31",2015-11-20,411.161304719486
"193.172.31",2015-11-20,401.195105347338
"193.172.31",2015-11-22,397.707182669113
"193.172.31",2015-11-22,379.588433078367
"193.172.31",2015-11-22,394.058973966329
"193.172.31",2015-11-22,403.363000542233
"193.172.31",2015-11-22,428.397446500712
"193.172.31",2015-11-22,398.009498590979
"193.177.61",2015-11-22,383.634060632303
"193.177.61",2015-11-22,390.613955176292
"193.177.61",2015-11-22,411.500899466603
"193.177.61",2015-11-22,362.565097437582
"193.177.61",2015-11-22,387.363378002211
"193.177.61",2015-11-22,399.151236078437
"193.177.61",2015-11-22,428.842138626823
"193.177.61",2015-11-22,381.582131599264
"193.177.61",2015-11-22,399.687828004611
"193.177.61",2015-11-22,404.389329493334
"193.177.61",2015-11-22,410.011963520074
"193.177.61",2015-11-22,433.386979606047
"193.177.61",2015-11-22,379.929151238339
"193.177.61",2015-11-22,407.88364418701
"193.177.61",2015-12-06,420.058547891128
"193.177.61",2015-12-06,474.785126465678
"193.177.61",2015-12-06,450.752443926359
"193.177.61",2015-12-06,429.207661696466
"193.177.61",2015-12-06,453.073350149966
"193.177.61",2015-12-06,429.047234536081
"193.171.31",2015-12-06,464.015625469046
"193.171.31",2015-12-06,465.156234081899
"193.171.31",2015-12-06,434.43874764708
"193.171.31",2015-12-06,423.735761075133
"193.171.31",2015-12-06,442.574567869087
"193.171.31",2015-12-06,448.306130292133
"193.171.31",2015-12-06,444.826422093413
"193.171.31",2015-12-06,454.357146169041
"193.171.31",2015-12-06,457.397799281379
"193.171.31",2015-12-06,468.068656671429
"193.171.31",2015-12-06,457.93627084483
"193.171.31",2015-12-06,447.098306766074
"193.171.31",2015-12-06,447.958082577002
"193.171.31",2015-12-06,443.439258687281
"193.171.31",2015-12-06,448.715315568693
