Session_id,City,Device
aaa.ccqrt 10000.74,LA,iphone
aaa.ccqrt 9999.16,Kentucky,android
aaa.ccqrt 10001.45,LA,iphone
aaa.ccqrt 9999.77,Alabama,android
aaa.ccqrt 9999.8,LA,iphone
aaa.ccqrt 10000.29,LA,iphone
aaa.ccqrt 9998.24,Alabama,android
aaa.ccqrt 9998.06,LA,iphone
aaa.ccqrt 10001.72,LA,iphone
aaa.ccqrt 10001.09,Alabama,android
aaa.ccqrt 9999.5,LA,iphone
aaa.ccqrt 10000.63,LA,iphone
aaa.ccqrt 10001.1,Alabama,android
aaa.ccqrt 9999.64,Kentucky,iphone
aaa.ccqrt 10000.68,Kentucky,android
aaa.ccqrt 9997.72,LA,iphone
aaa.ccqrt 10001.53,LA,iphone
aaa.ccqrt 10000.88,Alabama,android
aaa.ccqrt 9999.38,LA,iphone
aaa.ccqrt 9999.38,LA,iphone
aaa.ccqrt 9999.49,Kentucky,android
aaa.ccqrt 9999.82,Alabama,android
aaa.ccqrt 9999.98,Alabama,android
aaa.ccqrt 10001.11,LA,iphone
aaa.ccqrt 10000.03,Alabama,android
aaa.ccqrt 9999.76,LA,iphone
aaa.ccqrt 9998.4,LA,iphone
aaa.ccqrt 9999.05,Alabama,android
aaa.ccqrt 10000.91,LA,iphone
aaa.ccqrt 9998.8,Alabama,android
aaa.ccqrt 9999.89,Kentucky,iphone
aaa.ccqrt 9997.3,Kentucky,android
aaa.ccqrt 10001.06,Alabama,android
aaa.ccqrt 9999.37,Alabama,android
aaa.ccqrt 9998.9,Alabama,android
aaa.ccqrt 9999.54,Alabama,android
aaa.ccqrt 9997.31,LA,iphone
aaa.ccqrt 9999.08,Kentucky,android
aaa.ccqrt 9998.61,Alabama,android
aaa.ccqrt 9999.55,LA,iphone
aaa.ccqrt 9999.89,LA,iphone
aaa.ccqrt 10000.16,LA,iphone
aaa.ccqrt 10000.05,LA,iphone
aaa.ccqrt 9997.6,LA,iphone
aaa.ccqrt 10000.61,LA,iphone
aaa.ccqrt 10000.13,LA,iphone
aaa.ccqrt 9999.48,Kentucky,android
aaa.ccqrt 10001.07,Alabama,android
aaa.ccqrt 10001.46,LA,iphone
aaa.ccqrt 9999.06,LA,iphone
aaa.ccqrt 9998.94,LA,iphone
aaa.ccqrt 10000.66,Kentucky,android
aaa.ccqrt 10001.39,LA,iphone
aaa.ccqrt 10001.16,Alabama,android
aaa.ccqrt 10000.94,Kentucky,android
aaa.ccqrt 10000.3,Alabama,android
aaa.ccqrt 10000.51,Alabama,android
aaa.ccqrt 10000.35,LA,iphone
aaa.ccqrt 9999.18,LA,iphone
aaa.ccqrt 10001.16,Alabama,android
aaa.ccqrt 9998.76,Kentucky,iphone
aaa.ccqrt 9999.36,Alabama,android
aaa.ccqrt 9997.03,LA,iphone
aaa.ccqrt 9999.03,Kentucky,iphone
aaa.ccqrt 9999.57,Kentucky,iphone
aaa.ccqrt 9999.77,LA,iphone
aaa.ccqrt 10000.47,Kentucky,android
aaa.ccqrt 10001.7,Alabama,android
aaa.ccqrt 10002.14,LA,iphone
aaa.ccqrt 10000.65,LA,iphone
aaa.ccqrt 10000.34,Alabama,android
aaa.ccqrt 10001.99,LA,iphone
aaa.ccqrt 10001.35,Alabama,android
aaa.ccqrt 9999.62,Kentucky,iphone
aaa.ccqrt 9998.91,Alabama,android
aaa.ccqrt 9999.92,LA,iphone
aaa.ccqrt 10000.07,Kentucky,android
aaa.ccqrt 9999.27,Alabama,android
